Ashley Lab	US/CA/Stanford				
Date	heart		calories		steps
		7/28/2016 4:07:00	0.9057000279	7/28/2016 4:07:00	0
		7/28/2016 4:08:00	0.9057000279	7/28/2016 4:08:00	0
		7/28/2016 4:09:00	0.9057000279	7/28/2016 4:09:00	0
		7/28/2016 4:10:00	0.9057000279	7/28/2016 4:10:00	0
		7/28/2016 4:11:00	0.9057000279	7/28/2016 4:11:00	0
		7/28/2016 4:12:00	0.9057000279	7/28/2016 4:12:00	0
		7/28/2016 4:13:00	0.9057000279	7/28/2016 4:13:00	0
		7/28/2016 4:14:00	0.9057000279	7/28/2016 4:14:00	0
		7/28/2016 4:15:00	0.9057000279	7/28/2016 4:15:00	0
		7/28/2016 4:16:00	0.9057000279	7/28/2016 4:16:00	0
		7/28/2016 4:17:00	0.9057000279	7/28/2016 4:17:00	0
		7/28/2016 4:18:00	0.9057000279	7/28/2016 4:18:00	0
		7/28/2016 4:19:00	0.9057000279	7/28/2016 4:19:00	0
		7/28/2016 4:20:00	0.9057000279	7/28/2016 4:20:00	0
		7/28/2016 4:21:00	0.9057000279	7/28/2016 4:21:00	0
		7/28/2016 4:22:00	0.9057000279	7/28/2016 4:22:00	0
		7/28/2016 4:23:00	0.9057000279	7/28/2016 4:23:00	0
		7/28/2016 4:24:00	0.9057000279	7/28/2016 4:24:00	0
		7/28/2016 4:25:00	0.9057000279	7/28/2016 4:25:00	0
		7/28/2016 4:26:00	0.9057000279	7/28/2016 4:26:00	0
		7/28/2016 4:27:00	0.9057000279	7/28/2016 4:27:00	0
		7/28/2016 4:28:00	0.9057000279	7/28/2016 4:28:00	0
		7/28/2016 4:29:00	0.9057000279	7/28/2016 4:29:00	0
		7/28/2016 4:30:00	0.9057000279	7/28/2016 4:30:00	0
		7/28/2016 4:31:00	0.9057000279	7/28/2016 4:31:00	0
		7/28/2016 4:32:00	0.9057000279	7/28/2016 4:32:00	0
		7/28/2016 4:33:00	0.9057000279	7/28/2016 4:33:00	0
		7/28/2016 4:34:00	0.9057000279	7/28/2016 4:34:00	0
		7/28/2016 4:35:00	0.9057000279	7/28/2016 4:35:00	0
		7/28/2016 4:36:00	0.9057000279	7/28/2016 4:36:00	0
		7/28/2016 4:37:00	0.9057000279	7/28/2016 4:37:00	0
		7/28/2016 4:38:00	0.9057000279	7/28/2016 4:38:00	0
		7/28/2016 4:39:00	0.9057000279	7/28/2016 4:39:00	0
		7/28/2016 4:40:00	0.9057000279	7/28/2016 4:40:00	0
		7/28/2016 4:41:00	0.9057000279	7/28/2016 4:41:00	0
		7/28/2016 4:42:00	0.9057000279	7/28/2016 4:42:00	0
		7/28/2016 4:43:00	0.9057000279	7/28/2016 4:43:00	0
		7/28/2016 4:44:00	0.9057000279	7/28/2016 4:44:00	0
		7/28/2016 4:45:00	0.9057000279	7/28/2016 4:45:00	0
		7/28/2016 4:46:00	0.9057000279	7/28/2016 4:46:00	0
		7/28/2016 4:47:00	0.9057000279	7/28/2016 4:47:00	0
		7/28/2016 4:48:00	0.9057000279	7/28/2016 4:48:00	0
		7/28/2016 4:49:00	0.9057000279	7/28/2016 4:49:00	0
		7/28/2016 4:50:00	0.9057000279	7/28/2016 4:50:00	0
		7/28/2016 4:51:00	0.9057000279	7/28/2016 4:51:00	0
		7/28/2016 4:52:00	0.9057000279	7/28/2016 4:52:00	0
		7/28/2016 4:53:00	0.9057000279	7/28/2016 4:53:00	0
		7/28/2016 4:54:00	0.9057000279	7/28/2016 4:54:00	0
		7/28/2016 4:55:00	0.9057000279	7/28/2016 4:55:00	0
		7/28/2016 4:56:00	0.9057000279	7/28/2016 4:56:00	0
		7/28/2016 4:57:00	0.9057000279	7/28/2016 4:57:00	0
		7/28/2016 4:58:00	0.9057000279	7/28/2016 4:58:00	0
		7/28/2016 4:59:00	0.9057000279	7/28/2016 4:59:00	0
		7/28/2016 5:00:00	0.9057000279	7/28/2016 5:00:00	0
		7/28/2016 5:01:00	0.9057000279	7/28/2016 5:01:00	0
		7/28/2016 5:02:00	0.9057000279	7/28/2016 5:02:00	0
		7/28/2016 5:03:00	0.9057000279	7/28/2016 5:03:00	0
		7/28/2016 5:04:00	0.9057000279	7/28/2016 5:04:00	0
		7/28/2016 5:05:00	0.9057000279	7/28/2016 5:05:00	0
		7/28/2016 5:06:00	0.9057000279	7/28/2016 5:06:00	0
		7/28/2016 5:07:00	0.9057000279	7/28/2016 5:07:00	0
		7/28/2016 5:08:00	0.9057000279	7/28/2016 5:08:00	0
		7/28/2016 5:09:00	0.9057000279	7/28/2016 5:09:00	0
		7/28/2016 5:10:00	0.9057000279	7/28/2016 5:10:00	0
		7/28/2016 5:11:00	0.9057000279	7/28/2016 5:11:00	0
		7/28/2016 5:12:00	0.9057000279	7/28/2016 5:12:00	0
		7/28/2016 5:13:00	0.9057000279	7/28/2016 5:13:00	0
		7/28/2016 5:14:00	0.9057000279	7/28/2016 5:14:00	0
		7/28/2016 5:15:00	0.9057000279	7/28/2016 5:15:00	0
		7/28/2016 5:16:00	0.9057000279	7/28/2016 5:16:00	0
		7/28/2016 5:17:00	0.9057000279	7/28/2016 5:17:00	0
		7/28/2016 5:18:00	0.9057000279	7/28/2016 5:18:00	0
		7/28/2016 5:19:00	0.9057000279	7/28/2016 5:19:00	0
		7/28/2016 5:20:00	0.9057000279	7/28/2016 5:20:00	0
		7/28/2016 5:21:00	0.9057000279	7/28/2016 5:21:00	0
		7/28/2016 5:22:00	0.9057000279	7/28/2016 5:22:00	0
		7/28/2016 5:23:00	0.9057000279	7/28/2016 5:23:00	0
		7/28/2016 5:24:00	0.9057000279	7/28/2016 5:24:00	0
		7/28/2016 5:25:00	0.9057000279	7/28/2016 5:25:00	0
		7/28/2016 5:26:00	0.9057000279	7/28/2016 5:26:00	0
		7/28/2016 5:27:00	0.9057000279	7/28/2016 5:27:00	0
		7/28/2016 5:28:00	0.9057000279	7/28/2016 5:28:00	0
		7/28/2016 5:29:00	0.9057000279	7/28/2016 5:29:00	0
		7/28/2016 5:30:00	0.9057000279	7/28/2016 5:30:00	0
		7/28/2016 5:31:00	0.9057000279	7/28/2016 5:31:00	0
		7/28/2016 5:32:00	0.9057000279	7/28/2016 5:32:00	0
		7/28/2016 5:33:00	0.9057000279	7/28/2016 5:33:00	0
		7/28/2016 5:34:00	0.9057000279	7/28/2016 5:34:00	0
		7/28/2016 5:35:00	0.9057000279	7/28/2016 5:35:00	0
		7/28/2016 5:36:00	0.9057000279	7/28/2016 5:36:00	0
		7/28/2016 5:37:00	0.9057000279	7/28/2016 5:37:00	0
		7/28/2016 5:38:00	0.9057000279	7/28/2016 5:38:00	0
		7/28/2016 5:39:00	0.9057000279	7/28/2016 5:39:00	0
		7/28/2016 5:40:00	0.9057000279	7/28/2016 5:40:00	0
		7/28/2016 5:41:00	0.9057000279	7/28/2016 5:41:00	0
		7/28/2016 5:42:00	0.9057000279	7/28/2016 5:42:00	0
